URL,Filesize,Number of Outgoing links,Content type
http://www.latimes.com/la-bio-randy-lewis-staff.html,98165,182,text/html
http://www.latimes.com/projects/la-pol-ca-next-california-natural-disasters/,505374,57,text/html
http://www.latimes.com/sports/kings/,237856,207,text/html
http://www.latimes.com/la-bio-nicole-santa-cruz-staff.html,98992,181,text/html
http://www.latimes.com/entertainment/movies/la-et-mn-capsule-matangi-maya-mia-review-20180927-story.html,196745,151,text/html
http://www.latimes.com/local/obituaries/,140216,212,text/html
http://www.latimes.com/about/la-scott-kraft-managing-editor-story.html,109362,150,text/html
http://www.latimes.com/entertainment/movies/la-ca-list-0930-movie-events-revivals-20180928-story.html,197948,156,text/html
http://www.latimes.com/food/,312334,233,text/html
http://www.latimes.com/local/crime/la-me-terrell-analysis-20180922-story.html,135047,155,text/html
http://www.latimes.com/la-bio-ed-stockly-staff.html,96571,182,text/html
http://www.latimes.com/about/pressreleases/,77196,180,text/html
http://www.latimes.com/espanol/entretenimiento/la-es-nicki-minaj-esta-peleando-con-su-ex-companias-de-musica-y-el-bebe-de-kylie-jenner-ella-esta-bien-20180827-story.html,112793,148,text/html
http://www.latimes.com/world/brazil/,155082,206,text/html
http://www.latimes.com/entertainment/movies/la-et-mn-hold-the-dark-review-20180927-story.html,203902,151,text/html
http://www.latimes.com/espanol/deportes/,250191,208,text/html
http://www.latimes.com/la-bio-mariel-garza-staff.html,98841,181,text/html
http://www.latimes.com/about/la-about-us-storygallery.html,80095,148,text/html
http://www.latimes.com/opinion/op-ed/la-oe-fortini-las-vegas-shooting-anniversary-20180930-story.html,104990,146,text/html
http://www.latimes.com/health/la-he-moving-beyond-fitness-20180929-story.html,213847,160,text/html
http://www.latimes.com/science/sciencenow/la-sci-sn-ford-testimony-victims-help-20180927-story.html,167829,161,text/html
http://www.latimes.com/entertainment/movies/la-ca-mn-new-video-eighth-grade-20180928-story.html,202635,150,text/html
http://www.latimes.com/entertainment/movies/la-et-mn-tiff-critics-media-diversity-20180928-story.html,220571,154,text/html
http://www.latimes.com/local/readers-rep/,157471,208,text/html
http://www.latimes.com/travel/la-tr-letters-20180930-story.html,191583,149,text/html
http://www.latimes.com/espanol/entretenimiento/,252825,206,text/html
http://www.latimes.com/espanol/mexico/,256630,204,text/html
http://www.latimes.com/tn-dpt-me-hannah-fry-20150917-staff.html,98100,180,text/html
http://www.latimes.com/politics/la-na-pol-texas-senate-20181001-story.html,223812,152,text/html
http://www.latimes.com/la-bio-jenn-harris-staff.html,98838,181,text/html
http://www.latimes.com/politics/la-pol-ca-essential-politics-20181001-story.html,228649,187,text/html
http://www.latimes.com/local/orangecounty/,152048,212,text/html
http://www.latimes.com/entertainment/movies/la-et-mn-old-man-and-the-gun-review-20180927-story.html,207770,152,text/html
http://www.latimes.com/opinion/readersreact/la-ol-le-confirm-kavanaugh-supreme-court-20180930-story.html,115707,153,text/html
http://www.latimes.com/books/,179373,213,text/html
http://www.latimes.com/travel/la-tr-calendar-21080930-story.html,198828,158,text/html
http://www.latimes.com/lanews-sam-farmer-20130507-staff.html,98484,181,text/html
http://www.latimes.com/pb/resources/images/lat_icons/72-iTunesArtwork.png?v=87,1810,0,image/png
http://www.latimes.com/newsletters/sports/lanews-bill-plaschke-20130507-staff.html,97992,182,text/html
http://www.latimes.com/la-bio-patrick-mcdonnell-staff.html,98229,183,text/html
http://www.latimes.com/entertainment/movies/la-et-mn-mini-maximum-impact-review-20180927-story.html,196209,151,text/html
http://www.latimes.com/visuals/,266736,312,text/html
http://www.latimes.com/latest/,215582,144,text/html
http://www.latimes.com/politics/la-pol-ca-governor-women-corporate-boards-20180930-story.html,209948,154,text/html
http://www.latimes.com/la-bio-christina-schoellkopf-staff.html,98593,182,text/html
http://www.latimes.com/la-bio-sean-greene-staff.html,95223,179,text/html
http://www.latimes.com/sports/nfl/,239495,208,text/html
http://www.latimes.com/la-bio-adam-tschorn-staff.html,99308,181,text/html
http://www.latimes.com/local/california/la-na-radiation-hazards-2018-story.html,138566,154,text/html
